Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
SHANXI MEIJIN ENERGY 'A',CN:FUT,5/15/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanxi Meijin Energy 'A'
SHANXI TAIGANG STL. 'A',CN:TAS,10/21/1998,17Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanxi Taigang Steel 'A'
SHANXI XISHAN C&ELY.PWR. 'A',CN:SXZ,7/26/2000,15Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanxi Xishan C and Ely Power 'A'
SHENWU ENV.TECH.'A',CN:EEG,1/7/2011,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenwu Environmental Technology 'A'
SHENZHEN AISIDI 'A',CN:ASD,5/28/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Aisidi 'A'
SHENZHEN ENERGY GP.'A',CN:ENI,9/3/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Energy Group 'A'
SHENZHEN FENDA TECHNOLOGY 'A',CN:SQA,6/5/2012,3Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Fenda Technology 'A'
SHENZHEN HEPALINK PHARM. 'A',CN:SLK,5/6/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Hepalink Pharmaceutical 'A'
SHENZHEN INFOGEM TECHS. 'A',CN:SIV,5/26/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Infogem Technologies 'A'
SHENZHEN INOVANCE TECH. 'A',CN:SIQ,9/28/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Inovance Technology 'A'
SHENZHEN O-FILM TECH 'A',CN:SOF,8/3/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen O-Film Technology 'A'
SHENZHEN SALUBRIS PHARMS.'A',CN:ERT,9/10/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Salubris Pharmaceuticals 'A'
